clientIp,avg(sessionTime)
1.23.191.117,807.0
1.23.73.240,631.0
1.38.23.24,343.0
1.23.33.95,651.0
1.187.163.73,413.0
1.22.204.183,466.0
1.23.108.96,851.0
1.186.142.40,445.0
1.39.12.199,709.5
1.39.14.19,0.0
1.39.34.171,221.5
1.39.61.157,985.3333333333334
1.39.60.38,391.0
1.39.35.233,970.0
1.39.60.63,0.0
1.39.61.249,160.5
1.39.62.179,966.0
1.39.62.72,0.0
1.39.96.156,485.5
1.39.96.161,977.5
101.212.65.124,760.0
101.0.48.166,907.0
101.212.68.159,1139.0
101.212.68.241,732.5
101.212.65.185,0.0
101.0.38.222,0.0
101.212.69.38,743.5
101.61.32.141,914.0
101.63.37.38,650.0
101.60.176.162,1012.0
101.212.71.6,0.0
103.15.81.50,680.0
101.212.72.53,0.0
101.222.239.231,93.0
103.21.52.76,0.0
101.221.136.101,915.0
101.56.187.22,53.0
101.56.21.89,807.0
101.62.193.187,531.0
101.212.71.185,709.0
103.2.134.249,763.0
101.222.227.97,675.0
101.58.225.54,190.0
103.224.146.155,0.0
103.231.232.18,117.0
103.232.238.131,22.0
103.232.8.12,196.0
103.242.188.241,51.0
103.233.115.142,371.0
103.249.180.31,581.0
103.254.27.224,927.0
103.249.4.144,671.0
103.29.116.5,765.0
103.241.135.19,894.0
106.78.21.67,0.0
106.220.11.203,875.0
106.79.121.115,1369.0
106.220.143.169,333.0
106.77.191.225,757.0
103.5.135.18,538.0
103.37.81.45,609.0
106.218.242.15,391.0
106.66.58.158,946.0
106.76.51.240,634.0
106.67.190.227,167.0
106.219.50.62,976.0
106.67.61.52,177.0
107.167.103.89,1156.0
106.215.136.136,535.0
106.78.89.190,0.0
106.51.232.31,789.0
106.76.25.137,845.0
103.38.246.42,554.0
106.76.70.231,843.0
106.51.136.116,1028.0
106.51.211.160,770.0
106.205.71.244,0.0
103.39.156.237,753.0
106.206.138.182,623.0
106.67.142.182,886.0
106.221.148.99,0.0
106.66.243.33,0.0
107.167.107.16,116.25
106.216.170.59,972.0
106.192.132.22,2060.0
106.208.141.139,758.0
106.76.97.63,0.0
106.78.93.13,946.0
106.219.28.41,847.0
106.79.53.49,0.0
103.39.131.57,0.0
106.66.0.114,503.0
106.79.157.134,742.0
106.66.2.179,207.0
103.47.171.189,780.0
106.78.240.190,876.0
106.76.30.205,434.0
103.29.119.218,983.0
106.213.126.119,185.0
106.220.135.193,244.0
107.167.107.187,1132.6666666666667
107.167.107.210,445.6666666666667
112.79.35.60,431.0
112.79.37.201,327.0
110.227.147.253,618.0
111.93.35.94,462.0
110.172.179.253,866.0
112.196.31.195,673.0
112.196.36.114,725.0
112.196.170.24,0.0
112.79.39.53,591.5
107.167.109.187,2076.0
112.110.122.14,750.0
111.93.246.138,0.0
112.196.170.195,1748.0
112.79.38.55,545.0
115.115.186.235,643.0
115.187.37.67,747.0
113.20.19.125,898.0
114.143.91.223,0.0
115.187.39.249,1234.5
114.143.106.242,1439.0
115.112.58.139,817.0
113.193.193.199,1028.0
115.117.121.39,840.0
115.112.152.218,959.0
115.115.222.60,841.0
113.19.195.27,0.0
113.193.116.54,103.0
115.242.169.36,763.0
115.246.83.245,155.0
115.248.19.162,849.0
115.248.70.25,179.5
115.246.95.238,863.0
115.245.148.169,0.0
115.244.234.202,854.0
115.245.238.191,0.0
115.241.33.244,693.0
117.194.255.152,0.0
117.197.78.153,869.0
117.199.39.126,0.0
117.193.244.32,705.0
116.202.64.93,638.0
116.203.76.251,777.0
115.250.98.104,0.0
117.195.187.62,305.0
116.73.168.226,29.0
116.74.6.118,0.0
116.75.106.232,858.0
115.249.8.228,539.0
116.202.179.50,257.0
116.203.246.122,789.0
117.194.207.123,972.0
115.250.89.52,755.0
116.202.252.3,0.0
117.194.131.51,803.0
115.250.9.208,352.0
117.199.40.124,1389.0
117.196.255.24,0.0
117.206.103.175,104.0
