clientIp,avg(sessionTime)
1.187.59.85,117.0
1.23.129.71,697.5
1.187.196.49,948.0
1.23.107.143,905.0
1.22.60.221,0.0
1.186.38.34,584.0
1.38.18.103,286.0
1.38.23.189,586.0
1.38.23.227,448.0
1.39.14.97,665.5
1.39.13.2,2143.0
1.39.11.112,620.0
1.39.35.208,254.33333333333334
1.39.32.80,0.0
101.56.225.117,0.0
1.39.60.206,0.0
101.209.174.243,654.0
101.212.69.122,748.0
101.221.131.208,157.0
1.39.96.201,0.0
1.39.61.135,1368.0
1.39.60.225,0.0
1.39.40.3,1271.0
101.56.13.116,464.0
101.2.51.181,0.0
101.219.11.143,638.0
101.222.229.51,591.0
101.212.70.58,0.0
101.212.70.85,969.0
101.56.12.52,844.0
101.58.2.77,45.0
1.39.61.51,685.0
101.56.101.227,12.0
101.59.89.239,2477.0
101.62.245.166,669.0
101.63.180.92,755.0
101.60.239.203,941.0
101.62.250.248,92.0
101.60.194.185,0.0
101.59.225.161,308.0
103.1.113.8,738.0
103.16.35.75,368.6666666666667
101.62.223.115,0.0
103.17.86.153,256.0
103.20.125.4,742.0
103.18.170.134,74.0
103.2.234.90,592.0
103.237.56.36,0.0
103.238.242.10,745.0
103.254.55.201,960.0
103.240.208.44,515.0
103.245.119.50,379.0
103.27.8.42,1327.0
103.240.96.213,825.0
103.240.237.22,172.0
103.255.234.54,1310.0
103.25.1.12,796.0
103.31.214.78,956.0
103.29.249.122,351.0
103.41.198.2,577.0
106.211.138.211,638.0
106.206.129.225,372.0
106.215.133.173,0.0
106.213.212.17,155.0
106.208.12.156,206.0
106.208.198.102,825.0
106.194.1.24,727.0
106.208.41.57,1115.0
103.52.246.97,100.0
106.208.23.25,426.0
104.236.233.182,646.0
106.215.187.211,0.0
106.206.129.112,0.0
106.208.220.247,171.0
106.215.168.174,746.0
106.216.131.253,469.5
106.219.57.138,1059.0
106.219.46.75,420.0
106.220.14.125,896.0
106.219.7.67,342.0
106.219.27.254,0.0
106.220.209.63,29.0
106.216.161.23,528.0
106.51.128.144,574.6666666666666
106.79.112.57,860.0
106.78.105.206,673.0
106.51.135.15,204.0
106.79.218.184,845.0
106.77.177.101,557.0
106.79.28.158,0.0
107.167.107.163,677.75
106.77.156.148,547.0
106.66.65.10,398.0
106.77.240.222,950.0
106.76.247.201,501.0
106.78.218.130,848.0
106.51.242.143,357.0
107.167.107.136,608.0
106.66.182.2,892.0
106.66.78.178,0.0
106.78.109.83,0.0
106.51.69.198,1057.0
106.76.96.134,4.0
107.167.107.67,145.0
107.167.109.180,895.0
107.167.107.26,763.0
107.167.109.8,277.5
112.133.233.130,393.0
111.119.244.166,774.0
112.196.146.32,904.0
112.79.37.57,0.0
111.119.217.90,0.0
112.79.36.136,908.0
112.196.134.159,821.0
112.110.89.16,608.0
111.125.228.251,955.0
112.79.38.202,118.5
112.79.36.126,6.0
111.93.231.82,46.0
111.119.250.197,1704.0
111.92.62.93,893.0
112.196.137.125,890.0
113.193.100.43,0.0
113.193.254.90,742.5
114.143.241.74,517.5
115.112.148.66,1041.6666666666667
115.111.246.154,783.0
115.109.11.29,467.0
114.30.76.84,339.0
114.143.27.122,1401.0
114.30.76.103,2626.0
116.203.73.67,227.5
116.203.110.136,1232.0
115.184.76.224,639.0
115.187.49.69,899.0
115.99.29.100,869.0
115.114.69.102,141.0
115.242.184.91,538.0
115.249.242.129,540.0
115.245.149.123,769.0
116.202.119.49,325.0
115.187.43.254,0.0
116.202.34.0,27.0
115.245.35.31,0.0
116.202.95.87,281.0
115.245.230.1,892.0
115.245.216.185,921.0
116.50.79.74,1200.3333333333333
117.200.8.80,248.0
117.194.10.126,669.0
117.194.84.56,1138.0
117.197.33.122,1037.0
117.196.41.244,900.0
117.204.28.212,668.5
116.74.6.98,2013.0
117.200.239.160,622.0
116.75.146.144,938.0
117.196.40.197,829.0
117.201.52.77,135.0
117.204.131.89,35.0
117.196.217.35,0.0
117.195.170.159,2597.0
117.195.34.89,326.0
117.200.72.251,648.0
116.73.196.46,1000.0
116.72.183.129,1312.0
116.75.38.107,0.0
117.198.251.165,715.0
117.192.57.254,55.0
117.198.181.44,0.0
117.210.170.235,0.0
117.204.8.82,556.0
117.204.32.74,643.0
117.206.124.175,0.0
117.204.37.17,571.0
