clientIp,sessionId,request,count(request)
103.16.71.9,7,https://paytm.com:443/offer/wp-content/plugins/logo-slider/lgs_jquery.cycle2.js?ver=4.2.2,1
117.199.79.155,25,https://paytm.com:443/brands/wp-content/plugins/image-slider-responsive/css/flexslider.css?ver=4.2.2,1
117.213.224.211,25,https://paytm.com:443/papi/nps/merchantrating?merchant_id=177&channel=web&version=2,1
117.217.152.106,25,https://paytm.com:443/,1
120.56.209.48,28,https://paytm.com:443/shop/contact,4
122.175.225.152,29,https://paytm.com:443/papi/v1/promosearch/product/8992854/offers?parent_id=8992861&price=2099&channel=web&version=2,1
168.235.194.72,43,https://paytm.com:443/?utm_source=affiliates&utm_medium=grabon&utm_campaign=grabon,4
182.64.222.139,56,https://paytm.com:443/papi/v1/promosearch/product/13799782/offers?parent_id=13799804&price=2599&channel=web&version=2,1
37.228.106.13,69,https://paytm.com:443/offer/wp-includes/js/jquery/ui/accordion.min.js?ver=1.11.4,1
49.14.146.154,71,https://paytm.com:443/offer/wp-includes/js/jquery/ui/draggable.min.js?ver=1.11.4,1
49.206.1.99,71,https://paytm.com:443/offer/wp-includes/js/jquery/ui/dialog.min.js?ver=1.11.4,1
59.178.132.223,73,https://paytm.com:443/offer/wp-content/plugins/easy-logo-slider/js/jcarousel.responsive.js?ver=4.2.2,1
59.97.32.9,73,https://paytm.com:443/shop/cart?channel=web&version=2,1
62.7.83.14,75,https://paytm.com:443/favicon.ico,1
1.23.2.244,2,https://paytm.com:443/shop/h/sports-and-health/bicycles-accessories?utm_medium=social&utm_source=facebook_paid&utm_campaign=bicycle-buyers_custom,1
101.221.135.233,14,https://paytm.com:443/papi/nps/merchantrating?merchant_id=73524&channel=web&version=2,1
103.232.8.100,14,https://paytm.com:443/blog/wp-content/uploads/2014/11/logo3.jpg,1
103.242.189.112,14,https://paytm.com:443/favicon.ico,1
103.242.189.112,14,https://paytm.com:443/shop/cart?channel=web&version=2,1
106.202.16.168,18,https://paytm.com:443/papi/rr/products/12193034/statistics?channel=web&version=2,3
106.78.29.215,19,https://paytm.com:443/offer/wp-content/plugins/owl-carousel/css/owl.transitions.css?ver=4.2.2,1
107.167.109.157,25,https://paytm.com:443/styles/app.css,3
107.167.99.210,29,https://paytm.com:443/offer/wp-includes/js/jquery/ui/draggable.min.js?ver=1.11.4,1
115.111.23.150,32,https://paytm.com:443/offer/wp-includes/js/jquery/ui/accordion.min.js?ver=1.11.4,1
115.245.10.65,34,https://paytm.com:443/shop/orderhistory?pagesize=10&channel=web&version=2,3
116.203.19.233,34,https://paytm.com:443/shop/wallet/balance?channel=web&version=2,1
117.215.185.38,36,https://paytm.com:443/offer/wp-content/themes/twentytwelve/js/navigation.js?ver=20140318,1
118.102.239.85,39,https://paytm.com:443/shop/p/spelax-grey-sports-shoes-free-32gb-memory-card-size-6-FOOSPELAX-GREY-GRAB7352486E66CD4,2
122.172.145.77,49,https://paytm.com:443/offer/wp-content/uploads/2015/07/pesoal.jpg,1
125.18.129.68,51,https://paytm.com:443/offer/wp-content/plugins/image-slider-responsive/js/jquery.flexslider-min.js?ver=4.2.2,2
14.97.33.229,54,https://paytm.com:443/,3
14.98.248.72,54,https://paytm.com:443/shop/orderdetail/1118071440?channel=web&version=2,1
167.219.48.10,57,https://paytm.com:443/shop/p/color-cocktail-purple-chic-solid-shrug-CMPLXWSHRUGCLRFSHG500FAPPLL,1
203.176.112.109,69,https://paytm.com:443/offer/wp-content/plugins/wc-gallery/includes/js/flexslider/flexslider.css?ver=2.2.0,1
223.196.20.179,80,https://paytm.com:443/images/greyStar.png,1
37.228.105.168,80,https://paytm.com:443/,2
49.207.27.205,84,https://paytm.com:443/shop/h/electronics?utm_source=Affiliates&utm_medium=VCOMM&utm_campaign=VCOMM-generic&utm_term=1064,1
