clientIp,sessionTimeSum
49.205.144.196,1021
182.74.255.18,1021
1.23.104.224,1021
117.197.179.139,1021
49.14.99.146,1021
49.204.210.89,1021
122.170.60.9,1021
49.206.76.176,1021
115.241.95.255,1021
117.244.165.135,1021
117.197.250.168,1021
220.227.199.41,1021
106.76.99.166,1021
117.239.215.65,1021
101.221.136.206,1021
117.206.110.44,1021
14.99.5.111,1021
1.39.63.132,1021
183.83.183.101,1021
120.138.118.57,1021
223.176.62.73,1021
117.214.135.88,1021
59.177.79.238,1021
182.74.124.82,1021
123.201.118.134,1021
49.139.200.250,1021
117.214.142.33,1021
117.228.41.152,1021
106.76.12.19,1021
117.192.22.213,1021
49.14.128.28,1021
49.156.159.55,1021
59.91.127.126,1021
195.27.53.211,1021
1.187.185.241,1021
117.197.236.195,1021
117.239.219.210,1021
103.247.83.189,1021
117.215.44.83,1021
14.139.215.98,1020
117.240.179.1,1020
112.196.2.230,1020
114.143.75.137,1020
117.206.169.120,1020
95.172.68.155,1020
117.198.12.183,1020
180.215.121.205,1020
123.136.168.186,1020
123.136.254.206,1020
175.100.147.7,1020
117.238.63.54,1020
106.77.12.186,1020
59.92.241.103,1020
101.63.171.11,1020
117.222.29.163,1020
112.110.123.57,1020
122.168.39.38,1020
61.16.141.225,1020
27.4.196.123,1020
103.59.247.230,1020
117.246.68.158,1020
123.201.133.141,1020
202.91.74.146,1020
37.228.105.210,1020
60.254.92.219,1020
49.207.168.140,1020
117.222.183.31,1020
120.57.11.50,1020
122.177.129.247,1020
120.56.253.72,1020
182.72.98.126,1020
122.174.132.93,1020
183.82.140.206,1020
14.97.73.131,1020
122.164.180.179,1020
106.208.35.246,1020
117.194.254.248,1020
1.38.20.34,1019
121.241.210.182,1019
182.68.157.160,1019
106.51.103.190,1019
27.48.161.221,1019
122.167.144.25,1019
59.99.28.141,1019
1.39.10.147,1019
115.111.218.74,1019
117.221.86.118,1019
117.212.31.240,1019
122.168.175.62,1019
117.203.197.86,1019
141.0.9.215,1019
122.167.222.133,1019
106.79.223.77,1019
115.250.82.163,1019
117.195.29.179,1019
202.53.92.76,1019
59.93.15.194,1019
106.192.162.249,1019
117.214.248.40,1019
122.175.219.173,1019
125.16.65.230,1019
103.43.36.168,1019
183.83.104.58,1019
122.174.202.79,1019
49.205.124.55,1019
116.202.138.182,1019
106.215.149.124,1019
117.203.235.214,1019
117.214.51.44,1019
116.203.73.136,1019
122.176.131.185,1019
117.195.194.82,1019
117.207.186.224,1019
43.230.198.82,1019
223.227.31.138,1019
115.252.78.110,1019
117.248.117.205,1019
101.2.26.192,1018
124.124.199.162,1018
117.254.212.137,1018
122.169.167.118,1018
182.73.236.42,1018
180.215.170.0,1018
14.139.223.98,1018
182.57.181.73,1018
59.91.20.235,1018
117.220.200.236,1018
1.39.62.231,1018
115.250.123.57,1018
117.203.219.63,1018
182.64.210.225,1018
121.244.199.154,1018
115.245.138.162,1018
122.255.75.11,1018
202.58.134.130,1018
106.51.233.55,1018
223.176.30.250,1018
220.225.127.90,1018
117.235.58.12,1018
116.50.72.55,1018
122.169.40.126,1018
124.253.175.246,1018
180.151.18.95,1018
117.233.7.56,1018
115.187.61.195,1018
183.82.96.165,1018
194.151.67.12,1018
122.172.41.156,1018
117.212.70.102,1018
182.71.22.44,1018
101.63.222.5,1018
106.220.24.10,1018
182.66.45.218,1017
103.7.83.2,1017
183.83.125.182,1017
150.129.156.65,1017
122.160.36.222,1017
192.96.205.134,1017
103.58.56.223,1017
59.99.160.86,1017
106.205.59.53,1017
1.39.14.156,1017
116.203.59.175,1017
59.89.110.233,1017
122.175.6.119,1017
182.56.196.42,1017
182.66.11.22,1017
1.39.80.126,1017
210.212.240.146,1017
120.61.85.107,1017
59.88.189.252,1017
122.172.215.208,1017
115.245.254.40,1017
70.39.185.127,1017
117.238.207.111,1017
1.39.45.248,1017
182.65.179.124,1017
49.15.216.178,1017
180.211.110.250,1017
1.38.22.246,1017
1.39.97.21,1017
117.207.111.151,1017
117.199.247.25,1017
120.138.120.122,1017
45.114.62.172,1017
103.17.156.232,1017
124.123.14.244,1017
14.141.207.146,1017
117.221.82.164,1017
117.205.39.248,1016
117.254.177.146,1016
183.83.39.9,1016
115.249.70.114,1016
106.77.55.79,1016
59.145.201.195,1016
117.205.11.201,1016
122.162.46.203,1016
103.24.22.86,1016
182.74.186.242,1016
223.176.9.46,1016
122.170.56.228,1016
1.187.172.80,1016
103.249.90.211,1016
103.43.4.76,1016
116.203.50.139,1016
106.66.19.187,1016
61.3.15.64,1016
49.14.33.197,1016
27.116.21.189,1016
112.196.129.134,1016
202.83.17.202,1016
116.68.73.74,1016
117.195.120.94,1016
117.222.215.29,1016
117.221.21.66,1016
49.201.90.147,1016
223.176.61.245,1016
107.167.109.62,1016
183.82.103.148,1016
45.119.57.149,1016
27.97.174.214,1016
103.244.122.78,1016
124.123.115.33,1016
59.97.13.51,1016
210.56.103.176,1016
1.39.80.108,1016
203.98.104.129,1015
182.64.19.184,1015
121.241.16.178,1015
103.253.211.85,1015
43.251.89.104,1015
49.204.215.246,1015
8.37.225.17,1015
106.76.38.224,1015
27.6.177.29,1015
14.140.69.161,1015
182.74.228.114,1015
117.239.1.42,1015
122.164.203.16,1015
117.232.247.85,1015
183.82.99.201,1015
121.245.120.40,1015
101.212.68.238,1015
106.77.153.111,1015
59.99.166.12,1015
117.242.67.221,1015
117.203.184.60,1015
49.206.215.18,1015
202.91.132.65,1015
106.79.174.190,1015
14.195.210.60,1015
101.59.246.40,1015
192.147.115.2,1015
115.250.27.224,1015
117.201.57.146,1015
45.65.10.43,1015
220.226.191.58,1015
116.202.38.153,1015
49.14.140.228,1015
106.67.3.16,1015
117.201.94.222,1015
203.123.34.34,1015
106.193.70.126,1015
115.248.166.12,1015
122.171.220.92,1015
182.66.4.139,1015
49.14.25.73,1015
61.0.198.38,1015
49.249.158.33,1015
59.99.137.0,1014
182.65.233.122,1014
59.98.111.141,1014
117.216.184.20,1014
117.202.154.50,1014
103.241.46.106,1014
117.206.178.166,1014
182.68.161.130,1014
115.118.157.55,1014
14.96.13.77,1014
