clientIp,sessionTimeSum
1.186.77.10,1951
1.186.233.109,932
1.38.18.197,1236
1.22.204.160,1041
1.22.42.47,528
1.22.97.236,139
1.23.69.40,638
1.22.245.216,247
1.187.55.151,1063
1.22.30.121,819
1.23.39.63,130
1.39.11.66,963
1.39.32.185,1552
1.39.15.147,0
1.39.14.108,1307
1.39.32.91,623
1.39.34.96,682
1.39.35.109,1429
1.39.34.33,1317
1.39.35.138,2380
1.39.40.7,2223
1.39.60.86,695
1.39.61.99,1369
1.39.62.165,0
1.39.63.221,0
1.39.63.100,918
1.39.97.122,967
1.39.63.37,2010
1.39.63.207,964
1.39.97.66,1850
101.59.84.217,1804
101.62.162.210,0
101.222.235.17,693
101.212.67.140,0
103.14.234.22,679
101.0.57.75,0
101.62.178.59,771
101.2.73.229,0
101.59.238.72,0
103.16.70.197,891
103.231.46.2,1552
103.225.29.12,2427
103.254.53.145,92
103.31.214.174,0
103.43.6.130,2704
103.28.252.36,0
103.255.235.140,708
103.254.200.66,666
106.219.21.40,724
106.192.166.141,0
106.203.87.201,986
106.215.191.192,0
106.216.100.192,44
106.208.149.157,954
106.194.90.67,0
106.208.118.17,137
106.197.29.115,241
106.194.14.72,488
106.216.138.62,959
106.204.106.124,987
106.219.39.163,0
106.208.88.129,395
106.203.57.48,0
106.203.104.224,898
103.47.153.49,107
106.192.180.117,0
106.79.94.92,0
106.78.102.49,987
106.79.21.212,0
106.51.240.125,723
106.67.131.149,0
107.151.219.89,638
106.51.240.132,271
106.77.252.172,0
106.51.176.27,45
106.78.200.38,474
107.167.107.108,542
106.220.165.214,105
106.51.234.47,599
106.220.245.135,554
106.220.155.22,811
106.77.58.220,844
106.51.160.197,414
106.220.17.122,0
106.76.29.242,262
106.220.166.36,205
106.76.16.16,924
106.220.100.159,773
106.78.186.41,0
107.167.107.86,849
107.167.108.255,1948
107.167.109.159,1787
112.110.114.210,980
112.110.119.239,779
110.172.30.150,138
112.196.52.74,1305
110.226.148.199,0
107.167.99.201,512
112.196.62.3,789
110.5.79.6,683
112.196.11.70,1586
112.133.233.109,852
112.79.39.75,2412
115.248.149.194,1920
115.243.178.147,0
114.143.173.113,830
115.118.57.116,658
113.193.117.137,171
115.246.66.82,1045
114.143.154.233,412
113.193.203.138,529
115.118.170.87,0
115.119.152.66,637
115.111.179.194,693
115.250.118.8,0
115.250.89.223,102
115.98.113.125,0
115.98.251.44,555
115.252.161.193,1009
115.250.49.92,880
116.202.31.224,118
116.203.72.161,485
115.250.9.185,642
115.248.164.14,0
115.250.76.238,0
115.248.152.253,451
116.202.176.55,151
116.202.126.37,228
115.248.41.253,56
116.203.77.254,1444
117.195.226.92,3411
117.193.237.249,835
116.75.150.45,686
117.195.110.27,568
116.75.45.130,932
117.192.175.177,0
117.194.62.96,1028
117.194.131.77,362
116.75.131.35,987
117.195.143.44,476
117.222.255.243,928
117.201.31.30,156
117.204.83.237,629
117.201.172.132,426
117.207.160.100,165
117.231.77.13,592
117.203.249.175,744
117.199.229.122,769
117.208.141.199,559
117.195.227.132,476
117.206.247.41,613
117.228.4.240,824
117.228.94.130,7
117.221.33.194,0
117.211.160.40,872
117.206.96.63,250
117.204.80.192,40
117.199.83.200,740
117.237.210.209,0
117.201.48.201,653
117.202.136.32,880
117.217.193.161,748
117.196.163.208,0
117.208.202.48,0
117.216.238.56,820
117.218.65.155,1709
117.224.0.30,858
117.195.82.31,607
117.239.194.3,3574
117.229.44.22,0
117.211.162.60,671
117.207.156.52,384
117.223.175.71,0
117.197.162.217,801
117.205.242.65,480
117.196.34.155,0
117.208.241.216,822
117.212.9.251,841
117.216.176.94,603
117.198.50.138,262
117.229.204.103,925
117.201.74.67,535
117.253.209.114,0
122.160.151.174,0
122.175.149.83,41
122.169.224.196,1387
117.253.228.199,714
122.162.8.7,313
120.59.226.108,0
117.240.161.68,751
122.176.177.233,335
117.247.229.100,563
122.163.146.47,142
120.59.214.164,478
119.82.81.188,0
122.172.21.245,0
121.241.234.75,918
122.161.215.10,1166
122.162.153.164,817
117.247.110.83,826
117.244.82.81,921
120.57.197.95,820
117.242.188.35,0
120.60.81.2,1132
117.247.185.103,526
122.168.40.62,248
122.162.11.16,0
122.180.193.28,11
117.243.20.41,218
119.226.28.70,0
122.171.120.77,479
122.171.191.71,398
122.169.87.14,352
117.253.101.111,750
122.176.99.247,696
120.56.171.237,622
117.253.232.15,93
122.168.97.236,675
122.176.117.18,0
120.57.176.114,641
117.244.26.209,431
122.174.49.141,0
122.168.245.149,72
122.169.61.138,584
117.253.218.107,0
117.245.65.53,923
120.61.187.174,0
122.179.88.94,334
117.239.95.3,854
120.59.227.253,0
122.175.5.223,209
117.255.63.176,77
122.174.29.158,532
122.177.26.46,0
121.241.21.144,117
123.136.212.87,652
123.201.83.123,1814
123.63.145.11,487
123.63.220.42,1057
123.238.206.130,759
123.201.90.2,347
122.180.85.180,914
123.63.79.169,866
124.123.200.196,579
125.16.41.254,540
124.123.210.145,746
124.123.195.179,0
124.124.178.42,854
124.123.48.55,528
124.123.119.210,995
125.17.80.134,296
125.18.132.99,734
14.102.22.140,404
125.99.120.202,1065
14.139.155.214,3037
139.162.6.72,0
125.63.73.247,880
136.185.211.82,0
136.185.43.65,436
125.19.104.46,1383
125.62.108.174,590
14.139.125.203,76
14.139.186.110,2125
14.139.56.194,1611
14.140.235.194,589
14.96.233.125,865
144.36.215.114,509
14.141.209.174,0
14.99.146.119,472
14.96.161.143,0
14.141.37.174,209
14.98.19.131,1439
14.141.30.107,951
14.97.191.165,0
14.96.72.165,902
14.99.212.219,2405
14.141.81.25,563
14.96.134.190,1022
14.141.127.86,945
14.141.18.197,1006
14.96.29.90,777
141.0.8.83,0
14.97.211.233,1012
144.36.234.87,948
148.251.179.85,4178
150.107.213.119,840
150.129.237.74,613
150.107.191.77,624
150.242.150.47,2287
150.107.21.195,362
152.52.192.170,0
152.52.125.162,0
153.65.16.10,1821
152.52.208.64,256
162.93.65.1,1254
163.47.12.145,759
163.47.13.134,1004
163.47.12.42,654
163.47.153.209,304
164.100.150.213,1739
164.100.1.9,703
171.76.150.60,0
168.235.195.195,0
170.251.154.114,388
164.100.175.64,0
171.60.183.87,979
173.255.255.240,0
175.101.60.13,788
175.101.6.181,743
175.101.144.46,821
175.101.67.105,477
176.9.154.132,5261
182.68.241.43,1178
182.57.207.33,444
182.65.40.147,785
182.68.147.31,2113
182.66.62.114,0
182.66.43.61,701
180.215.22.28,478
182.48.208.13,974
182.66.41.241,0
182.68.199.93,301
180.215.121.32,62
182.66.5.73,700
180.188.247.75,765
180.215.73.82,0
180.215.102.161,939
182.74.238.210,683
183.182.84.34,0
182.70.192.254,0
202.133.54.5,517
192.223.136.5,472
182.75.21.2,578
182.70.171.113,493
184.154.184.83,950
203.117.117.157,0
182.74.224.82,0
182.74.38.66,0
203.114.242.241,39
182.70.233.107,0
203.123.181.177,2054
182.72.152.74,904
182.69.223.19,783
183.83.252.204,171
196.207.69.135,1138
183.83.245.67,477
192.8.253.100,175
202.131.97.34,2292
182.74.151.147,581
202.53.74.102,666
183.82.236.4,975
203.145.169.38,2324
208.65.73.254,1924
203.210.79.192,643
203.76.191.6,612
203.76.181.100,604
203.200.97.60,1578
203.194.105.195,262
203.171.247.220,0
203.200.114.6,941
216.86.36.146,726
223.187.139.228,0
223.227.105.141,0
223.176.52.176,892
223.176.62.13,666
210.212.227.250,0
27.111.211.10,0
219.74.133.78,0
216.178.109.84,747
223.176.41.243,0
223.176.184.91,0
223.176.166.254,413
223.183.101.80,192
24.129.113.232,725
223.176.136.17,102
219.91.219.242,926
27.120.106.3,0
223.227.122.162,388
223.176.181.17,682
209.65.163.180,649
213.134.116.68,961
220.181.108.90,0
223.196.212.44,1074
210.56.106.151,725
223.176.162.182,91
223.176.47.54,0
223.196.205.133,503
27.97.214.92,323
27.121.103.184,109
27.6.202.239,309
27.54.167.103,0
37.228.105.132,1276
27.59.3.198,579
27.251.102.68,361
27.7.0.100,0
27.97.8.118,360
27.4.196.123,1020
27.62.67.87,577
27.6.48.135,860
27.251.44.114,256
37.228.106.125,846
37.228.107.165,2271
39.33.104.227,539
49.206.171.42,990
49.14.113.131,420
49.205.65.100,793
54.209.248.89,886
49.202.142.139,1054
49.204.217.205,695
43.252.241.131,716
49.206.59.3,18
49.207.190.201,556
49.205.3.29,0
43.241.64.196,683
49.204.209.114,961
45.64.221.18,217
49.14.105.159,749
49.207.230.53,1086
49.204.243.161,989
49.200.222.147,0
43.249.216.62,0
43.251.217.10,554
43.252.241.86,0
43.241.65.130,880
49.15.26.147,324
49.200.127.128,557
49.206.236.164,402
54.211.87.31,406
58.185.233.158,615
45.114.195.42,1678
54.186.159.172,0
49.204.61.141,545
45.115.16.52,687
59.145.117.134,1765
49.207.218.161,887
49.248.151.218,0
49.200.36.24,248
49.204.202.42,1072
49.14.200.147,518
49.207.23.196,762
59.90.93.178,21
59.92.192.252,498
59.94.252.43,809
59.99.250.233,0
59.93.133.83,2003
59.180.20.22,597
59.97.140.60,0
59.99.42.138,392
60.243.218.242,819
59.179.65.213,677
59.177.202.39,607
59.180.172.118,0
59.92.192.61,837
59.180.142.53,0
60.243.23.250,6
59.184.142.142,266
59.94.245.65,0
59.178.208.209,0
59.178.223.222,239
59.89.255.173,0
59.161.97.152,672
59.91.226.91,990
61.16.137.209,666
70.39.184.160,1079
60.254.65.77,0
61.1.148.47,815
61.8.149.84,888
66.249.93.200,0
65.95.228.84,768
71.32.89.110,0
86.188.230.2,1072
